stage_classifiercode,division,division_short_name,hhf,last_changed
13-01,PCC,PCC,11.5343,2022-03-01 21:40:45.000000 UTC
13-01,LIMITED,LTD,9.6048,2019-05-01 09:41:55.000000 UTC
13-01,REVOLVER,REV,6.4115,2019-05-01 09:41:55.000000 UTC
13-01,LIMITED 10,L10,9.6048,2019-05-01 09:43:26.000000 UTC
13-01,CARRY OPTICS,CO,9.1054,2019-05-01 09:43:26.000000 UTC
13-01,PRODUCTION,PROD,9.1054,2018-06-28 12:52:49.000000 UTC
13-02,PCC,PCC,16.6066,2019-05-01 09:41:55.000000 UTC
13-02,SINGLE STACK,SS,11.7379,2018-06-28 12:52:49.000000 UTC
13-02,PRODUCTION,PROD,12.9901,2019-05-01 09:41:55.000000 UTC
13-02,LIMITED 10,L10,13.3483,2019-05-01 09:43:26.000000 UTC
13-02,REVOLVER,REV,10.7716,2019-05-01 09:41:55.000000 UTC
13-02,CARRY OPTICS,CO,13.2613,2022-03-01 21:39:35.000000 UTC
13-02,LIMITED,LTD,13.3483,2019-05-01 09:41:55.000000 UTC
13-02,OPEN,OPN,15.2209,2019-05-01 09:41:55.000000 UTC
13-03,SINGLE STACK,SS,4.675,2018-06-28 12:52:49.000000 UTC
13-03,LIMITED,LTD,4.9768,2019-05-01 09:41:55.000000 UTC
13-03,LIMITED 10,L10,4.9768,2019-05-01 09:43:26.000000 UTC
13-03,OPEN,OPN,5.6595,2018-06-28 12:52:49.000000 UTC
13-03,REVOLVER,REV,3.621,2019-05-01 09:41:55.000000 UTC
13-03,CARRY OPTICS,CO,5.0781,2022-03-01 21:39:20.000000 UTC
13-03,PCC,PCC,5.8957,2019-05-01 09:41:55.000000 UTC
13-03,PRODUCTION,PROD,4.8858,2018-06-28 12:52:49.000000 UTC
13-04,LIMITED,LTD,12.8041,2018-06-28 12:52:49.000000 UTC
13-04,PCC,PCC,16.3099,2019-05-01 09:41:55.000000 UTC
13-04,SINGLE STACK,SS,11.9603,2019-05-01 09:41:55.000000 UTC
13-04,LIMITED 10,L10,12.8041,2019-05-01 09:43:26.000000 UTC
13-04,CARRY OPTICS,CO,12.4795,2022-03-01 21:39:44.000000 UTC
13-04,PRODUCTION,PROD,12.3197,2019-05-01 09:41:55.000000 UTC
13-04,REVOLVER,REV,9.4282,2018-06-28 12:52:49.000000 UTC
13-04,OPEN,OPN,13.8923,2019-05-01 09:41:55.000000 UTC
13-05,SINGLE STACK,SS,10.6825,2019-05-01 09:41:55.000000 UTC
13-05,PCC,PCC,11.4003,2022-03-01 21:40:38.000000 UTC
13-05,REVOLVER,REV,7.6607,2019-05-01 09:41:55.000000 UTC
13-05,LIMITED 10,L10,11.3861,2019-05-01 09:43:26.000000 UTC
13-05,PRODUCTION,PROD,10.5911,2019-05-01 09:41:55.000000 UTC
13-05,OPEN,OPN,12.3668,2018-06-28 12:52:49.000000 UTC
13-05,LIMITED,LTD,11.3861,2019-05-01 09:41:55.000000 UTC
13-05,CARRY OPTICS,CO,10.7797,2022-03-01 21:39:37.000000 UTC
13-06,CARRY OPTICS,CO,9.2398,2019-05-01 09:43:26.000000 UTC
13-06,LIMITED 10,L10,10.0814,2019-05-01 09:43:26.000000 UTC
13-06,LIMITED,LTD,10.0814,2019-05-01 09:41:55.000000 UTC
13-06,PRODUCTION,PROD,9.2398,2019-05-01 09:41:55.000000 UTC
13-06,REVOLVER,REV,6.719,2018-06-28 12:52:49.000000 UTC
13-06,PCC,PCC,9.5673,2022-03-01 21:41:50.000000 UTC
13-06,SINGLE STACK,SS,8.9181,2019-05-01 09:41:55.000000 UTC
13-06,OPEN,OPN,10.4555,2019-05-01 09:41:55.000000 UTC
13-07,SINGLE STACK,SS,9.8018,2018-06-28 12:52:49.000000 UTC
13-07,LIMITED,LTD,9.9858,2018-06-28 12:52:49.000000 UTC
13-07,PRODUCTION,PROD,10.0764,2018-06-28 12:52:49.000000 UTC
13-07,OPEN,OPN,11.2466,2018-06-28 12:52:49.000000 UTC
13-07,REVOLVER,REV,7.1591,2018-06-28 12:52:49.000000 UTC
13-07,CARRY OPTICS,CO,10.0764,2019-05-01 09:43:26.000000 UTC
13-07,PCC,PCC,10.3148,2018-06-28 12:52:49.000000 UTC
13-07,LIMITED 10,L10,9.9858,2019-05-01 09:43:26.000000 UTC
13-08,PRODUCTION,PROD,9.1821,2019-05-01 09:41:55.000000 UTC
13-08,CARRY OPTICS,CO,9.4875,2022-03-01 21:39:26.000000 UTC
13-08,SINGLE STACK,SS,9.6621,2018-06-28 12:52:49.000000 UTC
13-08,PCC,PCC,10.925,2022-03-01 21:41:33.000000 UTC
13-08,LIMITED 10,L10,10.3935,2019-05-01 09:43:26.000000 UTC
13-08,REVOLVER,REV,6.766,2018-06-28 12:52:49.000000 UTC
13-08,OPEN,OPN,11.3745,2018-06-28 12:52:49.000000 UTC
13-08,LIMITED,LTD,10.3935,2019-05-01 09:41:55.000000 UTC
18-01,CARRY OPTICS,CO,5.0087,2022-03-01 21:39:22.000000 UTC
18-01,LIMITED 10,L10,4.9347,2019-05-01 09:43:26.000000 UTC
