,code,title,div,total,avg,max,100%,GM,M,A,B,C,D
7,09-02,Diamond Cutter,L10,392,4.171145663265306,11.1429,0.0,0.0,0.5102040816326507,4.591836734693885,14.285714285714278,43.62244897959184,85.96938775510205
0,09-03,Oh No,PCC,1221,4.613275020475021,10.9705,0.16380016380016116,0.5733005733005712,1.8837018837018888,7.4529074529074535,28.583128583128584,61.75266175266175,94.5945945945946
1,09-03,Oh No,CO,2289,3.459267627785059,9.0361,0.13106159895150427,0.4805591961555251,2.7959807776321526,8.213193534294447,23.328964613368285,50.8955875928353,87.1559633027523
2,09-03,Oh No,LTD,2301,2.383014863102999,8.871,0.0,0.08691873098652536,0.6518904823989544,2.433724467622767,9.12646675358539,30.160799652325068,74.22859626249458
3,09-03,Oh No,PROD,1602,2.3522016853932586,9.7391,0.12484394506866181,0.18726591760299982,0.8114856429463231,2.184769038701617,11.173533083645438,30.02496878901374,72.34706616729089
4,09-03,Oh No,REV,129,2.419115503875969,7.335,0.7751937984496067,0.7751937984496067,2.3255813953488342,3.100775193798455,17.054263565891475,37.2093023255814,83.72093023255815
5,09-03,Oh No,L10,216,2.255050925925926,8.1752,0.0,0.0,0.9259259259259238,1.3888888888888857,6.481481481481481,26.851851851851848,76.38888888888889
6,09-03,Oh No,SS,545,2.553879449541284,9.396,0.18348623853211166,0.18348623853211166,1.467889908256879,4.77064220183486,13.027522935779814,34.67889908256882,77.79816513761469
7,09-03,Oh No,OPN,1403,4.199991945830364,11.257,0.21382751247327292,0.42765502494654584,3.349964362081252,9.69351389878831,27.44119743406985,57.091945830363514,88.59586600142552
0,09-04,Pucker Factor,LTD,4249,3.775381030830784,13.2813,0.07060484819957935,0.11767474699929892,0.5883737349964662,2.3770298893857387,8.70793127794775,30.595434219816426,84.53753824429278
1,09-04,Pucker Factor,SS,938,4.024776012793177,12.7036,0.21321961620469665,0.5330490405117274,1.918976545842213,5.543710021321957,14.81876332622602,42.00426439232409,87.20682302771856
2,09-04,Pucker Factor,OPN,2315,6.003922894168467,15.2263,0.3023758099351994,0.6911447084233231,2.1598272138228936,7.041036717062639,23.36933045356372,56.717062634989205,92.3110151187905
3,09-04,Pucker Factor,PCC,2067,7.046157232704402,17.0616,0.19351717464924434,0.48379293662313216,1.4997581035316898,5.37010159651669,23.51233671988389,61.53846153846154,94.1944847605225
4,09-04,Pucker Factor,CO,3716,4.856931942949409,13.6986,0.10764262648008582,0.24219590958018955,1.1302475780409083,4.224973089343379,17.16899892357374,53.31001076426265,91.76533907427341
5,09-04,Pucker Factor,REV,207,3.589996135265701,8.776,1.9323671497584485,3.381642512077292,8.212560386473427,15.94202898550725,31.40096618357488,58.454106280193244,87.92270531400966
6,09-04,Pucker Factor,PROD,2703,3.711399593044765,14.1791,0.11098779134295,0.11098779134295,0.3699593044765095,2.1087680355160927,9.17499075101739,34.14724380318165,83.49981502034775
7,09-04,Pucker Factor,L10,391,3.8784685421994882,11.9454,0.0,0.0,0.767263427109981,1.5345268542199477,9.207161125319686,30.434782608695656,85.6777493606138
0,09-07,It's Not Brain Surgery,SS,560,1.5219151785714284,6.25,0.1785714285714306,0.3571428571428612,1.9642857142857082,3.75,11.07142857142857,28.214285714285722,61.60714285714286
1,09-07,It's Not Brain Surgery,L10,221,1.4625380090497737,5.4614,0.0,0.0,0.0,0.9049773755656076,5.42986425339366,24.886877828054295,59.72850678733032
2,09-07,It's Not Brain Surgery,OPN,1258,2.889140620031797,8.0925,0.07949125596184103,0.6359300476947567,2.3847376788553305,7.074721780604136,22.57551669316375,45.94594594594595,81.16057233704292
3,09-07,It's Not Brain Surgery,LTD,2415,1.4406272877846789,7.1233,0.12422360248447717,0.12422360248447717,0.5797101449275317,1.9875776397515494,7.287784679089029,22.31884057971014,60.62111801242236
4,09-07,It's Not Brain Surgery,PCC,1249,3.0217234587670134,8.0268,0.16012810248199116,0.6405124099279362,1.6012810248198548,4.403522818254601,18.734987990392312,53.48278622898318,88.31064851881504
5,09-07,It's Not Brain Surgery,REV,145,1.2717372413793104,5.597,1.3793103448275872,1.3793103448275872,2.7586206896551744,6.206896551724142,16.551724137931032,29.65517241379311,57.931034482758626
6,09-07,It's Not Brain Surgery,PROD,1613,1.3075045877247364,6.4665,0.06199628022318393,0.12399256044636786,0.8059516429014195,1.5499070055796693,9.113453192808436,23.37259764414135,56.850588964662116
7,09-07,It's Not Brain Surgery,CO,2041,2.2313216560509557,8.3832,0.19598236158745408,0.39196472317490816,1.8618324350808422,5.340519353258202,18.47133757961784,41.89122978931896,76.1391474767271
0,09-08,Crackerjack,REV,92,2.4305010869565216,5.4983,1.0869565217391255,3.2608695652173907,7.608695652173907,15.217391304347828,29.34782608695653,60.86956521739131,95.65217391304348
1,09-08,Crackerjack,LTD,1816,3.152435407488987,9.9303,0.05506607929515894,0.2753303964757663,1.2114537444933973,4.185022026431724,13.986784140969164,41.13436123348018,89.31718061674009
2,09-08,Crackerjack,L10,177,2.7857305084745763,7.7886,0.0,0.0,0.5649717514124291,1.6949152542372872,8.474576271186436,30.508474576271183,89.83050847457628
3,09-08,Crackerjack,PCC,841,5.640286682520808,13.1291,1.1890606420927412,2.7348394768133204,7.25326991676576,18.311533888228297,45.541022592152196,80.49940546967895,97.6218787158145
4,09-08,Crackerjack,CO,1899,4.237412743549236,9.6296,0.31595576619272947,0.8425487098472928,4.528699315429179,12.427593470247501,33.43865192206425,66.5086887835703,94.83938915218536
5,09-08,Crackerjack,PROD,1052,2.844010931558935,7.7333,0.09505703422053102,0.4752851711026551,1.9011406844106489,6.083650190114071,18.631178707224336,46.19771863117871,88.02281368821293
6,09-08,Crackerjack,OPN,1065,4.946869107981221,11.753,0.37558685446009576,0.9389671361502394,3.4741784037558716,10.046948356807519,29.014084507042256,66.0093896713615,94.92957746478872
7,09-08,Crackerjack,SS,386,2.977021761658031,8.284,0.5181347150259086,1.0362694300518172,4.145077720207254,9.585492227979273,23.056994818652853,48.96373056994819,91.45077720207254
0,09-09,Lightning And Thunder,PCC,1349,67.0533728687917,90.0,2.075611564121573,10.526315789473685,31.578947368421055,56.486286137879915,84.13639733135656,95.0333580429948,97.55374351371387
